-0.507912	-11.051400000000001
-0.506584	75.3993
-0.504871	0.0000391361
-0.501444	0.000161789
-0.498468	0.0000168067
-0.494079	-13.280000000000001
-0.491849	-15.2342
-0.489258	-50.777
-0.486248	32.3082
-0.484222	-11.3361
-0.482006	-13.905700000000001
-0.479583	-12.6419
-0.476511	45.87220000000001
-0.473108	0.0000130348
-0.469338	0.000010024
-0.463259	-0.0000175486
-0.456238	-0.0000441594
-0.448172	-0.000041248
-0.418811	-16.9225
-0.376393	0.0000112039
-0.319393	0.0000191273
-0.271987	0.0000227079
-0.257476	0.0000231191